!SIL SIL
<SPOKEN_NOISE> SPN
<UNK> SPN
A	ɑː 
FRISTE	f r ɪ s t a 
FRISTELSE	f r ɪ s t ɛ l s a 
FRISTELSEN	f r ɪ s t ɛ l s ə n 
FRISTEN	f r ɪ s t ə n 
FRISTES	f r ɪ s t ə s 
FRISTILLE	f r ɪ s t ɪ l l a 
FRISTILLES	f r ɪ s t ɪ l l ə s 
FRISTILLINGSMOTSTANDERE	f r ɪ s t ɪ l l ɪ ŋ s m ɔ t s t ɑ n n eː r a 
FRISØREN	f r iː s øː r ə n 
FRISØRENS	f r iː s øː r ə n s 
FRITAK	f r iː t a k 
FRITATT	f r iː t ɑ tː 
FRITID	f r iː t iː d 
FRITIDEN	f r iː t iː d ə n 
FRITIDENS	f r iː t iː d ə n s 
FRITIDSKLUBBENE	f r iː t ɪ d s k l ʉ bː ɛ n a 
FRITIDSKULTUR	f r iː t ɪ d s k ʉ l t ʉː r 
FRITT	f r ɪ tː 
FRIVILLIG	f r iː v ɪ l l ɪ 
FRIVILLIGE	f r iː v ɪ l l iː ɡ a 
FRIVOLITETER	f r iː v uː l iː t eː t ə r 
FRODE	f r uː d a 
FRODIG	f r uː d ɪ 
FROKOST	f r uː k ʊ s t 
FROKOSTEN	f r uː k ʊ s t ə n 
FROKOSTSPISERNE	f r uː k ʊ s t s p iː s a r n a 
FROMT	f r ɔ m t 
FRONT	f r ɔ n t 
FRONTEN	f r ɔ n t ə n 
FRONTLINJESTATENE	f r ɔ n t l ɪ n j ɛ s t a t ɛ n a 
FRONTLYS	f r ɔ n t l yː s 
FROSK	f r ɔ s k 
FROSKENE	f r ɔ s k ɛ n a 
FROSSEN	f r ɔ s s ə n 
FROSSENT	f r ɔ s s ɛ n t 
FROSSET	f r ɔ s s ə t 
FROSTEN	f r ʊ s t ə n 
FROSTSKADER	f r ʊ s t s k a d ə r 
FROSTSPRENGNING	f r ʊ s t s p r ə ŋ n ɪ ŋ 
FRUKT	f r ʉ k t 
FRUKTBAR	f r ʉ k t b a r 
FRUKTBARHET	f r ʉ k t b ɑ r h ə t 
FRUKTERPUNKTUM	f r ʉ k t a r p ʉ ŋ k t ʉː m 
FRUKTKJØTTET	f r ʉ k t x œ tː ə t 
FRUKTSALAT	f r ʉ k t s a l a t 
FRUSTRASJON	f r ʉ s t r ɑ ʃ uː n 
FRUSTRERT	f r ʉ s t r a r t 
FRYD	f r yː d 
FRYKT	f r y k t 
FRYKTELIG	f r y k t eː l ɪ 
FRYKTEN	f r y k t ə n 
FRYKTER	f r y k t ə r 
FRYKTET	f r y k t ə t 
FRYSEMETODEN	f r yː s eː m eː t uː d ə n 
FRYSEREN	f r yː s eː r ə n 
FRØY	f r øy 
FRØYDIS	f r øy d iː s 
FUGL	f ʉ ɡ l 
FUGLEEDDERKOPPEN	f ʉ ɡ l eː ɛ dː a r k ɔ pː ə n 
FUGLER	f ʉ ɡ l ə r 
FUGLPUNKTUM	f ʉ ɡ l p ʉ ŋ k t ʉː m 
FUKTIG	f ʉ k t ɪ 
FULGT	f ʉ l ɡ t 
FULGTE	f ʉ l ɡ t a 
FULL	f ʉ l 
FULLE	f ʉ l l a 
FULLFØRT	f ʉ l f œ r t 
FULLKOMMEN	f ʉ l k ɔ m m ə n 
FULLKOMMENT	f ʉ l k ɔ m m ɛ n t 
FULLMEKTIG	f ʉ l m ə k t ɪ 
FULLMÅNEN	f ʉ l m oː n ə n 
FULLSATTE	f ʉ l s ɑ tː a 
FULLSTAPPET	f ʉ l s t ɑ pː ə t 
FULLSTENDIG	f ʉ l s t ə n n ɪ 
FULLT	f ʉ l t 
FULLTAKKET	f ʉ l t ɑ kː ə t 
FULLTEGNET	f ʉ l t ɛ ŋ n ə t 
FUNDAMENT	f ʉ n n a m ɛ n t 
FUNGERE	f ʉ ŋ eː r a 
FUNGERER	f ʉ ŋ eː r ə r 
FUNGERT	f ʉ ŋ a r t 
FUNKLER	f ʉ ŋ k l ə r 
FUNKSJON	f ʉ ŋ k ʃ uː n 
FUNKSJONELL	f ʉ ŋ k ʃ uː n ɛ l 
FUNKSJONENE	f ʉ ŋ k ʃ uː n ɛ n a 
FUNKSJONER	f ʉ ŋ k ʃ uː n ə r 
FUNKSJONSSVIKT	f ʉ ŋ k ʃ ɔ n s s v ɪ k t 
FUNKSJONÆRENE	f ʉ ŋ k ʃ uː n aː r ɛ n a 
FUNN	f ʉ n 
FUNNET	f ʉ n n ə t 
FURNES	f ʉ r n ə s 
FURU	f ʉː r ʉː 
FURUNÅL	f ʉː r ʉː n oː l 
FURUSETH	f ʉː r ʉː s ɛ t h 
FUSA	f ʉː s ɑ 
FUSJON	f ʉ ʃ uː n 
FUSJONEN	f ʉ ʃ uː n ə n 
FYKER	f yː k ə r 
FYLDIG	f y l l ɪ 
FYLDIGE	f y l l iː ɡ a 
FYLKENE	f y l k ɛ n a 
FYLKER	f y l k ə r 
FYLKESKOMMUNALE	f y l k ə s k ɔ m m ʉː n a l a 
FYLKESKOMMUNEN	f y l k ə s k ɔ m m ʉː n ə n 
FYLKESKOMMUNENE	f y l k ə s k ɔ m m ʉː n ɛ n a 
FYLKESLEGER	f y l k ə s l eː ɡ ə r 
FYLKESMANN	f y l k ə s m ɑ n 
FYLKESMANNENS	f y l k ə s m ɑ n n ə n s 
FYLKESMANNSSTILLINGENE	f y l k ə s m ɑ n s s t ɪ l l ɪ ŋ ɛ n a 
FYLKESNIVÅ	f y l k ə s n iː v oː 
FYLKESPOLITIKERNE	f y l k ə s p uː l iː t iː k a r n a 
FYLKESVINNERNE	f y l k ə s v ɪ n n a r n a 
FYLKESVIS	f y l k ə s v iː s 
FYLKET	f y l k ə t 
FYLL	f y l 
FYLLE	f y l l a 
FYLLER	f y l l ə r 
FYLLES	f y l l ə s 
FYLT	f y l t 
FYLTE	f y l t a 
FYRINGSOLJE	f yː r ɪ ŋ s ɔ j a 
FYRTÅRN	f y r t ɔ r n 
FYRVERKERI	f y r v a r k eː r iː 
FYSIKALMEDISINERE	f yː s iː k ɑ l m eː d iː s iː n eː r a 
FYSIOLOGI	f yː s iː uː l uː j iː 
FYSISK	f yː s ɪ s k 
FYSISKE	f yː s ɪ s k a 
FÅ	f oː 
FÅR	f oː r 
FÅS	f oː s 
FÅTALL	f oː t ɑ l 
FÅTT	f ɔ tː 
FÆLESTE	f ɛː l ɛ s t a 
FÆLT	f a l t 
FÆRRE	f a r r a 
FÆRRESTE	f a r r ɛ s t a 
FÆRVIK	f a r v iː k 
FÆRØYSK	f aː r øy s k 
FÔROPPTAKET	f uː r ɔ pː t a k ə t 
FØDE	f øː d a 
FØDESTUER	f øː d ə s t ʉː ə r 
FØDSEL	f œ d s ə l 
FØDSELSHJELPEREN	f œ d s ə l s j ɛ l p eː r ə n 
FØDT	f œ d t 
FØK	f øː k 
FØLE	f øː l a 
FØLELSE	f øː l ɛ l s a 
FØLELSEN	f øː l ɛ l s ə n 
FØLELSENE	f øː l ə l s ɛ n a 
FØLELSER	f øː l ɛ l s ə r 
FØLELSESMESSIG	f øː l ə l s ɛ s m ə s s ɪ 
FØLELSESREGISTERET	f øː l ə l s ɛ s r eː j ɪ s t eː r ə t 
FØLER	f øː l ə r 
FØLGE	f œ l ɡ a 
FØLGELIG	f œ l ɡ eː l ɪ 
FØLGENE	f œ l ɡ ɛ n a 
FØLGER	f œ l ɡ ə r 
FØLGET	f œ l ɡ ə t 
FØLSOM	f œ l s uː m 
FØLSOMHET	f œ l s ɔ m h ə t 
FØLTE	f œ l t a 
FØLTES	f œ l t ə s 
FØR	f øː r 
FØRDE	f œ r d a 
FØRE	f øː r a 
FØRER	f øː r ə r 
FØRERPRØVEN	f øː r a r p r øː v ə n 
FØRET	f øː r ə t 
FØRSKOLELÆRERE	f œ r ʃ k uː l eː l aː r eː r a 
FØRST	f œ r ʃ t 
FØRSTE	f œ r ʃ t a 
FØRSTEHJELP	f œ r ʃ t ə j ɛ l p 
FØRSTEKLASSES	f œ r ʃ t ə k l ɑ s s ə s 
FØRSTETEMMEN	f œ r ʃ t eː t ɛ m m ə n 
FØRT	f œ r t 
FØRTE	f œ r t a 
FØRTI	f œ r t iː 
FØRTIEN	f œ r t iː ə n 
FØRTIFEM	f œ r t iː f ə m 
FØRTIFIRE	f œ r t iː f iː r a 
FØRTINI	f œ r t iː n iː 
FØRTISEKS	f œ r t iː s ɛ k s 
FØRTISJU	f œ r t ɪ ʃ ʉː 
FØRTITO	f œ r t iː t uː 
FØRTITRE	f œ r t ɪ t r a 
FØRTIÅTTE	f œ r t iː ɔ tː a 
G	ɡ eː 
GA	ɡ ɑ 
GABORONE	ɡ a b uː r uː n a 
GABRIELSEN	ɡ ɑ b r iː ɛ l s ə n 
GAFLER	ɡ ɑ f l ə r 
GALAKTISKE	ɡ a l ɑ k t ɪ s k a 
GALLERIETS	ɡ ɑ l l eː r iː ɛ t s 
GALOPPERENDE	ɡ a l ɔ pː eː r ɛ n n a 
GALSKAP	ɡ ɑ l s k a p 
GALT	ɡ ɑ l t 
GALTPUNKTUM	ɡ ɑ l t p ʉ ŋ k t ʉː m 
GAMLE	ɡ ɑ m l a 
GAMMASTRÅLINGSUTBRUDDET	ɡ ɑ m m ɑ s t r oː l ɪ ŋ s ʉ t b r ʉ dː ə t 
GAMMEL	ɡ ɑ m m ə l 
GAMMELDAGS	ɡ ɑ m m ə l l ɑ ɡ s 
GAMMELDAGSE	ɡ ɑ m m ə l l ɑ ɡ s a 
GAMMELMÅTEN	ɡ ɑ m m ə l m oː t ə n 
GAMMELOST	ɡ ɑ m m eː l ʊ s t 
GAMMELT	ɡ ɑ m m ɛ l t 
GANG	ɡ ɑ ŋ 
GANGBAR	ɡ ɑ ŋ b a r 
GANGBROER	ɡ ɑ ŋ b r ɔ a r 
GANGEN	ɡ ɑ ŋ ə n 
GANGENPUNKTUM	ɡ ɑ ŋ ə n p ʉ ŋ k t ʉː m 
GANGER	ɡ ɑ ŋ ə r 
GANGPUNKTUM	ɡ ɑ ŋ p ʉ ŋ k t ʉː m 
GANGS	ɡ ɑ ŋ s 
GANSKE	ɡ ɑ n s k a 
GARANTI	ɡ a r ɑ n t iː 
GARANTIEN	ɡ a r ɑ n t iː ə n 
GARANTIENE	ɡ a r ɑ n t iː ɛ n a 
GARANTIINSTITUTTET	ɡ a r ɑ n t iː ɪ n s t iː t ʉ tː ə t 
GARASJE	ɡ a r ɑ ʃ a 
GARD	ɡ ɑ r 
GARDIN	ɡ ɑ r d iː n 
GARDINER	ɡ ɑ r d iː n ə r 
GARNES	ɡ ɑ r n ə s 
GARNNØSTER	ɡ ɑ r n n œ s t ə r 
GASS	ɡ ɑ s 
GASSENE	ɡ ɑ s s ɛ n a 
GASSER	ɡ ɑ s s ə r 
GASSFLASKER	ɡ ɑ s s f l ɑ s k ə r 
GASSKRAFTVERK	ɡ ɑ s s k r ɑ f t v a r k 
GASTRONOMI	ɡ ɑ s t r uː n uː m iː 
GATA	ɡ a t ɑ 
GATEKAFÉ	ɡ a t eː k a f eː 
GATEKJØKKEN	ɡ a t ə x œ kː ə n 
GATELIVET	ɡ a t eː l iː v ə t 
GATEN	ɡ a t ə n 
GATER	ɡ a t ə r 
GAULAR	ɡ aʊ l a r 
GAUPER	ɡ aʊ p ə r 
GAUPNE	ɡ aʊ p n a 
GAUSDAL	ɡ aʊ s d a l 
GAUTE	ɡ aʊ t a 
GAVE	ɡ a v a 
GAVEN	ɡ a v ə n 
GAVENE	ɡ a v ɛ n a 
GEISTLIGE	j aɪ s t l iː ɡ a 
GEMYTT	ɡ eː m y tː 
GEN	ɡ eː n 
GENENE	ɡ eː n ɛ n a 
GENER	ɡ eː n ə r 
GENERALDIREKTØREN	ɡ eː n eː r ɑ l l iː r ɛ k t øː r ə n 
GENERALFORSAMLINGER	ɡ eː n eː r ɑ l f ɔ r ʃ ɑ m l ɪ ŋ ə r 
GENERALISERE	ɡ eː n eː r a l iː s eː r a 
GENERASJON	ɡ eː n eː r ɑ ʃ uː n 
GENERASJONEN	ɡ eː n eː r ɑ ʃ uː n ə n 
GENERASJONER	ɡ eː n eː r ɑ ʃ uː n ə r 
GENERELL	ɡ eː n eː r ɛ l 
GENERELLE	ɡ eː n eː r ɛ l l a 
GENERELT	ɡ eː n eː r ɛ l t 
GENETIKK	ɡ eː n eː t ɪ kː 
GENMANIPULERTE	ɡ ɛ n m a n iː p ʉː l a r t a 
GENSEKVENSER	ɡ ɛ n s ə k v ɛ n s ə r 
GENVARIANTER	ɡ ɛ n v a r iː ɑ n t ə r 
GEOGRAFI	ɡ eː ɔ ɡ r a f iː 
GEOGRAFISK	ɡ eː ɔ ɡ r a f ɪ s k 
GEOGRAFISKE	ɡ eː ɔ ɡ r a f ɪ s k a 
GEOLOGISK	ɡ eː uː l uː j ɪ s k 
GEOMETRI	ɡ eː uː m ɛ t r iː 
GEORG	ɡ eː ɔ r ɡ 
GERMANSKE	ɡ a r m ɑ n s k a 
GEVANTER	ɡ eː v ɑ n t ə r 
GEVINSTEN	ɡ eː v ɪ n s t ə n 
GI	j iː 
GIFT	j ɪ f t 
GIFTE	j ɪ f t a 
GIFTEN	j ɪ f t ə n 
GIFTER	j ɪ f t ə r 
GIFTIGE	j ɪ f t iː ɡ a 
GIFTSTOFFER	j ɪ f t s t ɔ f f ə r 
GIFTVIRKNING	j ɪ f t v ɪ r k n ɪ ŋ 
GIGANT	j iː ɡ ɑ n t 
GIGANTISKE	j iː ɡ ɑ n t ɪ s k a 
GIKK	j ɪ kː 
GILJE	j ɪ j a 
GIMSE	j ɪ m s a 
GIMSØYSAND	j ɪ m s øy s ɑ n n 
GIR	j iː r 
GIS	j iː s 
GISLE	j ɪ s l a 
GISLER	j ɪ s l ə r 
GITARIST	j iː t a r ɪ s t 
GITARSPILLING	j iː t ɑ r ʃ p ɪ l l ɪ ŋ 
GITT	j ɪ tː 
GITTER	j ɪ tː ə r 
GIVERGLEDE	j iː v a r ɡ l eː d a 
GJALDT	j ɑ l l t 
GJELDE	j ɛ l l a 
GJELDEN	j ɛ l l ə n 
GJELDENDE	j ɛ l l ɛ n n a 
GJELDER	j ɛ l l ə r 
GJELDSANSVARET	j ɛ l l s ɑ n s v a r ə t 
GJELDSKRISE	j ɛ l l s k r iː s a 
GJELDSPROBLEMER	j ɛ l l s p r ɔ b l eː m ə r 
GJEMME	j ɛ m m a 
GJEMTE	j ɛ m t a 
GJENBRUK	j ɛ n b r ʉː k 
GJENDIKTES	j ɛ n n ɪ k t ə s 
GJENFORENING	j ɛ n f uː r eː n ɪ ŋ 
GJENG	j ɛ ŋ 
GJENGAV	j ɛ ŋ a v 
GJENGEN	j ɛ ŋ ə n 
GJENGIS	j ɛ ŋ iː s 
GJENGIVELSE	j ɛ ŋ iː v ɛ l s a 
GJENGJELD	j ɛ ŋ j ɛ l l 
GJENGJELDES	j ɛ ŋ j ɛ l l ə s 
GJENINNFØRE	j eː n ɪ n f øː r a 
GJENKLANG	j ɛ ŋ k l ɑ ŋ 
GJENNOM	j ɛ n n uː m 
GJENNOMBRUDD	j ɛ n n ɔ m b r ʉ dː 
GJENNOMBRUDDET	j ɛ n n ɔ m b r ʉ dː ə t 
GJENNOMFØRE	j ɛ n n ɔ m f øː r a 
GJENNOMFØRES	j ɛ n n ɔ m f øː r ə s 
GJENNOMFØRING	j ɛ n n ɔ m f øː r ɪ ŋ 
GJENNOMFØRT	j ɛ n n ɔ m f œ r t 
GJENNOMFØRTE	j ɛ n n ɔ m f œ r t a 
GJENNOMGANG	j ɛ n n ɔ m ɡ ɑ ŋ 
GJENNOMGANGEN	j ɛ n n ɔ m ɡ ɑ ŋ ə n 
GJENNOMGANGSTEMA	j ɛ n n ɔ m ɡ ɑ ŋ s t eː m ɑ 
GJENNOMGÅ	j ɛ n n ɔ m ɡ oː 
GJENNOMGÅELSE	j ɛ n n ɔ m ɡ oː a l s a 
GJENNOMGÅENDE	j ɛ n n ɔ m ɡ oː a n n a 
GJENNOMGÅTT	j ɛ n n ɔ m ɡ ɔ tː 
GJENNOMILLUSTRERT	j ɛ n n uː m ɪ l l ʉ s t r a r t 
GJENNOMKJØRING	j ɛ n n ɔ m x øː r ɪ ŋ 
GJENNOMLEVD	j ɛ n n ɔ m l ɛ v d 
GJENNOMSKUER	j ɛ n n ɔ m s k ʉː ə r 
GJENNOMSLAG	j ɛ n n ɔ m ʃ l a ɡ 
GJENNOMSNITTET	j ɛ n n ɔ m s n ɪ tː ə t 
GJENNOMSNITTLIGE	j ɛ n n ɔ m s n ɪ tː l iː ɡ a 
GJENNOMSNITTSPRIS	j ɛ n n ɔ m s n ɪ tː s p r iː s 
GJENOPPTAGELSESSPØRSMÅLET	j eː n ɔ pː t a ɡ ə l s ɛ s s p œ r ʃ m oː l ə t 
GJENOPPTAS	j eː n ɔ pː t a s 
GJENSIDIG	j ɛ n s iː d ɪ 
GJENSKAPE	j ɛ n s k a p a 
GJENSPEILER	j ɛ n s p aɪ l ə r 
GJENSPEILTE	j ɛ n s p aɪ l t a 
GJENSTANDEN	j ɛ n s t ɑ n n ə n 
GJENSTANDENEPUNKTUM	j ɛ n s t ɑ n n eː n eː p ʉ ŋ k t ʉː m 
GJENSTANDER	j ɛ n s t ɑ n n ə r 
GJENSTARTBART	j ɛ n s t ɑ r t b ɑ r t 
GJENSTÅR	j ɛ n s t oː r 
GJENTA	j ɛ n t ɑ 
GJENTAS	j ɛ n t a s 
GJENTATT	j ɛ n t ɑ tː 
GJENTATTE	j ɛ n t ɑ tː a 
GJENTOK	j ɛ n t uː k 
GJENVINNING	j ɛ n v ɪ n n ɪ ŋ 
GJERDE	j a r d a 
GJERMUND	j a r m ʉ n n 
GJERNE	j a r n a 
GJERTRUD	j a r t r ʉː d 
GJESPINGEN	j ɛ s p ɪ ŋ ə n 
GJEST	j ɛ s t 
GJESTEARBEIDERE	j ɛ s t eː ɑ r b aɪ d eː r a 
GJESTEBUD	j ɛ s t eː b ʉː d 
GJESTENE	j ɛ s t ɛ n a 
GJETERE	j eː t eː r a 
GJETING	j eː t ɪ ŋ 
GJEV	j eː v 
GJORDE	j ɔ r d a 
GJORT	j ʊ r t 
GJORTPUNKTUM	j ʊ r t p ʉ ŋ k t ʉː m 
GJØDSLING	j œ d ʃ l ɪ ŋ 
GJØR	j øː r 
GJØRE	j øː r a 
GJØREPUNKTUM	j øː r eː p ʉ ŋ k t ʉː m 
GJØRES	j øː r ə s 
GJØRESPUNKTUM	j øː r ə s p ʉ ŋ k t ʉː m 
GJØRMETE	j œ r m eː t a 
GJØVIK	j øː v iː k 
GLAD	ɡ l a d 
GLADE	ɡ l a d a 
GLADELIG	ɡ l a d eː l ɪ 
GLADMELDINGEN	ɡ l ɑ d m ə l l ɪ ŋ ə n 
GLASS	ɡ l ɑ s 
GLASSBUR	ɡ l ɑ s s b ʉː r 
GLASSETPUNKTUM	ɡ l ɑ s s ə t p ʉ ŋ k t ʉː m 
GLASSMONTER	ɡ l ɑ s s m ɔ n t ə r 
GLATT	ɡ l ɑ tː 
GLATTE	ɡ l ɑ tː a 
GLEDE	ɡ l eː d a 
GLEDEN	ɡ l eː d ə n 
GLEDER	ɡ l eː d ə r 
GLEDERKOMMA	ɡ l eː d a r k ɔ m m ɑ 
GLEDERPUNKTUM	ɡ l eː d a r p ʉ ŋ k t ʉː m 
GLEDESSPREDER	ɡ l eː d ə s s p r eː d ə r 
GLEM	ɡ l ɛ m 
GLEMME	ɡ l ɛ m m a 
GLEMT	ɡ l ɛ m t 
GLENN	ɡ l ɛ n 
GLID	ɡ l iː d 
GLIMRENDE	ɡ l ɪ m r ɛ n n a 
GLIMT	ɡ l ɪ m t 
GLIPP	ɡ l ɪ pː 
GLIR	ɡ l iː r 
GLOBAL	ɡ l uː b a l 
GLORIFISERE	ɡ l uː r iː f iː s eː r a 
GLORIFISERTE	ɡ l uː r iː f iː s a r t a 
GLUGGE	ɡ l ʉ ɡː a 
GLØDENDE	ɡ l øː d ɛ n n a 
GLØDET	ɡ l øː d a 
GNISTRENDE	ŋ n ɪ s t r ɛ n n a 
GOD	ɡ uː d 
GODE	ɡ uː d a 
GODENE	ɡ uː d ɛ n a 
GODKJENNING	ɡ ɔ d x ə n n ɪ ŋ 
GODKJENT	ɡ ɔ d x ɛ n t 
GODKOMMA	ɡ ɔ d k ɔ m m ɑ 
GODLYNTE	ɡ ɔ d l y n t a 
GODMODIGE	ɡ ɔ d m uː d iː ɡ a 
GODSET	ɡ ɔ d s ə t 
GODSETS	ɡ ɔ d s ɛ t s 
GODSTRANSPORTEN	ɡ ɔ d s t r ɑ n s p ʊ r t ə n 
GODT	ɡ ɔ d t 
GODTA	ɡ ɔ d t ɑ 
GODTERIERPUNKTUM	ɡ ɔ d t eː r iː a r p ʉ ŋ k t ʉː m 
GODVIK	ɡ ɔ d v iː k 
GODVILJE	ɡ ɔ d v ɪ j a 
GONDOL	ɡ ʊ n n uː l 
GONGEN	ɡ ɔ ŋ ə n 
GOTISK	ɡ uː t ɪ s k 
GPS	ɡ eː p eː ɛ s 
GRAD	ɡ r a d 
GRADER	ɡ r a d ə r 
GRADVIS	ɡ r ɑ d v iː s 
GRAM	ɡ r a m 
GRAN	ɡ r a n 
GRANN	ɡ r ɑ n 
GRANSHERAD	ɡ r ɑ n s h eː r a d 
GRANSKE	ɡ r ɑ n s k a 
GRANSKET	ɡ r ɑ n s k ə t 
GRANVIN	ɡ r ɑ n v iː n 
GRATIS	ɡ r a t iː s 
GRATISPASSASJERER	ɡ r a t ɪ s p ɑ s s ɑ ʃ eː r ə r 
GRATISTELEFONEN	ɡ r a t ɪ s t eː l eː f uː n ə n 
GRAVD	ɡ r ɑ v d 
GRAVDAL	ɡ r ɑ v d a l 
GRAVE	ɡ r a v a 
GRAVEMASKINER	ɡ r a v eː m ɑ ʃ iː n ə r 
GRAVEN	ɡ r a v ə n 
GRAVENDE	ɡ r a v ɛ n n a 
GRAVHAUGENE	ɡ r ɑ v h aʊ ɡ ɛ n a 
GRAVHAUGER	ɡ r ɑ v h aʊ ɡ ə r 
GRAVID	ɡ r a v iː d 
GRAVIDE	ɡ r a v iː d a 
GREGERSEN	ɡ r eː ɡ a r ʃ ə n 
GREI	ɡ r aɪ 
GREID	ɡ r aɪ d 
GREIDE	ɡ r aɪ d a 
GREIER	ɡ r aɪ ə r 
GREIT	ɡ r aɪ t 
GREKEREN	ɡ r eː k eː r ə n 
GRELLE	ɡ r ɛ l l a 
GRENENE	ɡ r eː n ɛ n a 
GRENSEHANDELEN	ɡ r ɛ n s eː h ɑ n n eː l ə n 
GRENSEKOMMA	ɡ r ɛ n s eː k ɔ m m ɑ 
GRENSELANDET	ɡ r ɛ n s eː l ɑ n n ə t 
GRENSEN	ɡ r ɛ n s ə n 
GRENSENE	ɡ r ɛ n s ɛ n a 
GRENSEOMRÅDENE	ɡ r ɛ n s eː ɔ m r oː d ɛ n a 
GRENSER	ɡ r ɛ n s ə r 
GREP	ɡ r eː p 
GRESK	ɡ r ɛ s k 
GRESKE	ɡ r ɛ s k a 
GRESS	ɡ r ɛ s 
GRETA	ɡ r eː t ɑ 
GRILLEN	ɡ r ɪ l l ə n 
GRILLET	ɡ r ɪ l l ə t 
GRIMSTAD	ɡ r ɪ m s t a d 
GRINDHEIM	ɡ r ɪ n n h aɪ m 
GRIPE	ɡ r iː p a 
GRISEN	ɡ r iː s ə n 
GRISERIET	ɡ r iː s eː r iː ə t 
GRONG	ɡ r ɔ ŋ 
GROSSIST	ɡ r ɔ s s ɪ s t 
GROTESK	ɡ r uː t ɛ s k 
GROVBYGD	ɡ r ɔ v b y ɡ d 
GROVE	ɡ r uː v a 
GROVRIV	ɡ r ɔ v r iː v 
GRUA	ɡ r ʉː ɑ 
GRUNDIG	ɡ r ʉ n n ɪ 
GRUNDIGERE	ɡ r ʉ n n iː ɡ eː r a 
GRUNN	ɡ r ʉ n 
GRUNNARBEIDET	ɡ r ʉ n n ɑ r b aɪ d a 
GRUNNBELØPET	ɡ r ʉ n b eː l øː p ə t 
GRUNNBOK	ɡ r ʉ n b uː k 
GRUNNEIERNE	ɡ r ʉ n n aɪ a r n a 
GRUNNEN	ɡ r ʉ n n ə n 
GRUNNENE	ɡ r ʉ n n ɛ n a 
GRUNNER	ɡ r ʉ n n ə r 
GRUNNET	ɡ r ʉ n n ə t 
GRUNNFORSKNING	ɡ r ʉ n f ɔ r ʃ k n ɪ ŋ 
GRUNNLAG	ɡ r ʉ n l a ɡ 
GRUNNLAGET	ɡ r ʉ n l a ɡ ə t 
GRUNNLEGGENDE	ɡ r ʉ n l ə ɡː ɛ n n a 
GRUNNLOVEN	ɡ r ʉ n l uː v ə n 
GRUNNLOVSENDRING	ɡ r ʉ n l ɔ v s ɛ n n r ɪ ŋ 
GRUNNLØSE	ɡ r ʉ n l øː s a 
GRUNNSKOLELÆRERE	ɡ r ʉ n s k uː l eː l aː r eː r a 
GRUNNSKOLEN	ɡ r ʉ n s k uː l ə n 
GRUNNUTDANNING	ɡ r ʉ n n ʉ t d ɑ n n ɪ ŋ 
GRUNNVANNET	ɡ r ʉ n v ɑ n n ə t 
GRUPPA	ɡ r ʉ pː ɑ 
GRUPPE	ɡ r ʉ pː a 
GRUPPEARBEID	ɡ r ʉ pː eː ɑ r b aɪ d 
GRUPPEDANNELSE	ɡ r ʉ pː eː d ɑ n n ɛ l s a 
GRUPPEDELTAKERNE	ɡ r ʉ pː eː d ɛ l t a k a r n a 
GRUPPEN	ɡ r ʉ pː ə n 
GRUPPENE	ɡ r ʉ pː ɛ n a 
GRUPPEPROSESSEN	ɡ r ʉ pː ə p r uː s ɛ s s ə n 
GRUPPER	ɡ r ʉ pː ə r 
GRUPPERINGER	ɡ r ʉ pː eː r ɪ ŋ ə r 
GRUPPERPUNKTUM	ɡ r ʉ pː a r p ʉ ŋ k t ʉː m 
GRUPPERT	ɡ r ʉ pː a r t 
GRUVEBY	ɡ r ʉː v eː b yː 
GRYENDE	ɡ r yː ɛ n n a 
GRYTEN	ɡ r yː t ə n 
GRÅ	ɡ r oː 
GRÅSVART	ɡ r ɔ s v ɑ r t 
GRÅT	ɡ r oː t 
GRÅTE	ɡ r oː t a 
GRØFTEN	ɡ r œ f t ə n 
GRØNNBRUNE	ɡ r œ n b r ʉː n a 
GRØNNE	ɡ r œ n n a 
GRØNNERE	ɡ r œ n n eː r a 
GRØNNING	ɡ r œ n n ɪ ŋ 
GRØNNSAKER	ɡ r œ n s a k ə r 
GRØNNSAKPUSLESPILLET	ɡ r œ n s ɑ k p ʉ s l ə s p ɪ l l ə t 
GRØNSKE	ɡ r œ n s k a 
GRØNT	ɡ r œ n t 
GRØNTAREALER	ɡ r œ n t a r eː a l ə r 
GRØT	ɡ r øː t 
GSM	ɡ eː ɛ s ɛ m 
GUDER	ɡ ʉː d ə r 
GUDINNEN	ɡ ʉː d ɪ n n ə n 
GUDLØSHET	ɡ ʉ d l œ s h ə t 
GUDRUN	ɡ ʉ d r ʉː n 
GUDSTJENESTENE	ɡ ʉ d s ʂ eː n ɛ s t ɛ n a 
GULBRANDSEN	ɡ ʉ l b r ɑ n n s ə n 
GULE	ɡ ʉː l a 
GULFEN	ɡ ʉ l f ə n 
GULL	ɡ ʉ l 
GULLIKSEN	ɡ ʉ l l ɪ k s ə n 
GULLKORS	ɡ ʉ l k ɔ ʃ 
GULLSMED	ɡ ʉ l s m ə d 
GULROT	ɡ ʉ l r uː t 
GULRØTTER	ɡ ʉ l r œ tː ə r 
GULV	ɡ ʉ l v 
GULVENE	ɡ ʉ l v ɛ n a 
GULVET	ɡ ʉ l v ə t 
GULVPLAN	ɡ ʉ l v p l a n 
GULVVENTIL	ɡ ʉ l v v ə n t iː l 
